url,cit,views,dloads,pubs,last_mod,pub_refs,doi,journal,date,cites
https://www.openicpsr.org/openicpsr/project/182606/view,"Schmieder, Johannes, von Wachter, Till, and Heining, Joerg. Replication Code for The Costs of Job Displacement over the Business Cycle and Its Sources: Evidence from Germany. Nashville, TN: American Economic Association [publisher], 2023. Ann Arbor, MI: Inter-university Consortium for Political and Social Research [distributor], 2023-04-25. https://doi.org/10.3886/E182606V1",39,1,1,04/20/2023 08:00:PM,"Schmieder, Johannes, Till von Wachter, and Joerg Heining. “The Costs of Job Displacement over the Business Cycle and Its Sources: Evidence from Germany.” American Economic Review, n.d.",NA,NA,NA,NA
https://www.openicpsr.org/openicpsr/project/151781/view,"Bar-Isaac, Hesk, Caruana, Guillermo, and Cuñat, Vicente. Code for: Targeted product design. Nashville, TN: American Economic Association [publisher], 2023. Ann Arbor, MI: Inter-university Consortium for Political and Social Research [distributor], 2023-04-21. https://doi.org/10.3886/E151781V1",37,1,1,11/22/2021 10:32:PM,"Bar-Isaac, Heski, Guillermo Caruana, and Vicente Cuñat. “Targeted Product Design.” American Economic Journal: Microeconomics, n.d.",NA,NA,NA,NA
https://www.openicpsr.org/openicpsr/project/121021/view,"Pugsley, Benjamin, Sedlacek, Petr, and Sterk, Vincent. Data and Code for: “The Nature of Firm Growth.” Nashville, TN: American Economic Association [publisher], 2023. Ann Arbor, MI: Inter-university Consortium for Political and Social Research [distributor], 2023-04-20. https://doi.org/10.3886/E121021V2",1602,192,1,03/07/2022 12:15:PM,"Sterk, Vincent, Petr Sedlácek, and Benjamin Pugsley. “The Nature of Firm Growth.” American Economic Review 111, no. 2 (February 1, 2021): 547–79. https://doi.org/10.1257/aer.20190748.",10.1257/aer.20190748,NA,NA,NA
https://www.openicpsr.org/openicpsr/project/183161/view,NA,22,1,0,04/19/2023 09:51:AM,NA,NA,NA,NA,NA
https://www.openicpsr.org/openicpsr/project/185425/view,"Redding, Stephen. Data and Code for Quantitative Urban Models: From Theory to Data. Nashville, TN: American Economic Association [publisher], 2023. Ann Arbor, MI: Inter-university Consortium for Political and Social Research [distributor], 2023-04-19. https://doi.org/10.3886/E185425V1",21,3,1,03/26/2023 09:17:AM,"Redding, Stephen. “Quantitative Urban Models: From Theory to Data.” Journal of Economic Perspectives, 2023.",NA,NA,NA,NA
https://www.openicpsr.org/openicpsr/project/185504/view,NA,11,1,0,03/31/2023 09:24:PM,NA,NA,NA,NA,NA
https://www.openicpsr.org/openicpsr/project/183322/view,NA,11,0,1,11/30/2022 10:57:AM,NA,NA,NA,NA,NA
https://www.openicpsr.org/openicpsr/project/185943/view,"Miller, Douglas L. Replication code for “An Introductory Guide to Event Study Models.” Nashville, TN: American Economic Association [publisher], 2023. Ann Arbor, MI: Inter-university Consortium for Political and Social Research [distributor], 2023-04-19. https://doi.org/10.3886/E185943V1",18,4,1,04/04/2023 11:27:AM,"Miller, Douglas L. “An Introductory Guide to Event Study Models.” Journal of Economic Perspectives, n.d.",NA,NA,NA,NA
https://www.openicpsr.org/openicpsr/project/186022/view,NA,13,3,0,03/26/2023 10:21:AM,NA,NA,NA,NA,NA
https://www.openicpsr.org/openicpsr/project/183993/view,"Frank, Richard , and Glied, Sherry. Data and Code for: America’s Continuing Struggle with Mental Illnesses: Economic Considerations. Nashville, TN: American Economic Association [publisher], 2023. Ann Arbor, MI: Inter-university Consortium for Political and Social Research [distributor], 2023-04-19. https://doi.org/10.3886/E183993V1",14,3,1,03/29/2023 03:16:PM,"Frank, Richard, and Sherry Glied. “America’s Continuing Struggle with Mental Illnesses: Economic Considerations.” Journal of Economic Perspectives, n.d.",NA,NA,NA,NA
https://www.openicpsr.org/openicpsr/project/184523/view,NA,11,1,0,02/02/2023 10:22:AM,NA,NA,NA,NA,NA
https://www.openicpsr.org/openicpsr/project/186383/view,"Couture, Victor, and Handbury, Jessie. Data and Code for: Neighborhood Change, Gentrification, and the Urbanization of College Graduates. Nashville, TN: American Economic Association [publisher], 2023. Ann Arbor, MI: Inter-university Consortium for Political and Social Research [distributor], 2023-04-19. https://doi.org/10.3886/E186383V1",10,2,1,04/05/2023 07:59:PM,"Couture, Victor, and Jessie Handbury. “Neighborhood Change, Gentrification, and the Urbanization of College Graduates.” Journal of Economic Perspectives, 2023.",NA,NA,NA,NA
https://www.openicpsr.org/openicpsr/project/182995/view,NA,11,0,0,03/07/2023 08:29:PM,NA,NA,NA,NA,NA
https://www.openicpsr.org/openicpsr/project/183509/view,NA,11,0,0,03/21/2023 06:18:PM,NA,NA,NA,NA,NA
https://www.openicpsr.org/openicpsr/project/160781/view,"Maini, Luca, and Pammolli, Fabio. Data and Code for: Reference Pricing as a Deterrent to Entry: Evidence from the European Pharmaceutical Market. Nashville, TN: American Economic Association [publisher], 2023. Ann Arbor, MI: Inter-university Consortium for Political and Social Research [distributor], 2023-04-14. https://doi.org/10.3886/E160781V1",17,3,1,06/07/2022 09:18:AM,"Maini, Luca, and Fabio Pammolli. “Reference Pricing as a Deterrent to Entry: Evidence from the European Pharmaceutical Market.” American Economic Journal: Microeconomics, n.d.",NA,NA,NA,NA
https://www.openicpsr.org/openicpsr/project/176941/view,NA,6,0,0,08/05/2022 11:14:PM,NA,NA,NA,NA,NA
https://www.openicpsr.org/openicpsr/project/153301/view,NA,13,1,0,01/14/2023 11:41:PM,NA,NA,NA,NA,NA
https://www.openicpsr.org/openicpsr/project/156023/view,"Sacks, Daniel , Pease, Marilyn, Kolb, Aaron, and Quick, Joshua. Data and Code for: Blind Disclosure. Nashville, TN: American Economic Association [publisher], 2023. Ann Arbor, MI: Inter-university Consortium for Political and Social Research [distributor], 2023-04-14. https://doi.org/10.3886/E156023V1",16,0,1,12/03/2021 02:43:PM,"“Blind Disclosure.” American Economic Journal: Microeconomics, n.d.",NA,NA,NA,NA
